* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (2- OmniMic                  ), MICROPHONE (Master Volume), L, volume: 0,520
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: Jul 14, 2023 2:58:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: DeltaSE 50 -12 - yeni
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
282.714865	75.602	-29.6892
283.081076	75.701	-33.6021
283.447287	75.798	-37.5090
283.813498	75.893	-41.4119
284.179709	75.985	-45.3118
284.545920	76.075	-49.2102
284.912131	76.163	-53.1082
285.278342	76.247	-57.0068
285.644553	76.329	-60.9072
286.010764	76.408	-64.8108
286.376975	76.485	-68.7178
286.743186	76.558	-72.6294
287.109397	76.628	-76.5461
287.475608	76.695	-80.4688
287.841819	76.759	-84.3975
288.208030	76.819	-88.3328
288.574241	76.877	-92.2751
288.940452	76.931	-96.2241
289.306663	76.982	-100.1802
289.672873	77.029	-104.1428
290.039084	77.073	-108.1123
290.405295	77.113	-112.0881
290.771506	77.150	-116.0696
291.137717	77.184	-120.0564
291.503928	77.214	-124.0479
291.870139	77.241	-128.0435
292.236350	77.264	-132.0420
292.602561	77.284	-136.0430
292.968772	77.300	-140.0454
293.334983	77.313	-144.0479
293.701194	77.323	-148.0496
294.067405	77.329	-152.0491
294.433616	77.332	-156.0457
294.799827	77.331	-160.0376
295.166038	77.328	-164.0237
295.532249	77.321	-168.0027
295.898460	77.311	-171.9731
296.264671	77.297	-175.9336
296.630882	77.281	-179.8828
296.997093	77.262	176.1807
297.363304	77.240	172.2581
297.729515	77.215	168.3513
298.095726	77.187	164.4612
298.461937	77.157	160.5896
298.828148	77.123	156.7375
299.194359	77.088	152.9062
299.560570	77.050	149.0974
299.926781	77.009	145.3120
300.292992	76.967	141.5515
300.659203	76.922	137.8164
301.025413	76.875	134.1084
301.391624	76.827	130.4285
301.757835	76.776	126.7771
302.124046	76.724	123.1558
302.490257	76.670	119.5647
302.856468	76.615	116.0051
303.222679	76.558	112.4775
303.588890	76.500	108.9824
303.955101	76.441	105.5203
304.321312	76.381	102.0916
304.687523	76.321	98.6968
305.053734	76.259	95.3359
305.419945	76.197	92.0090
305.786156	76.135	88.7166
306.152367	76.072	85.4583
306.518578	76.009	82.2341
306.884789	75.946	79.0442
307.251000	75.883	75.8877
307.617211	75.820	72.7646
307.983422	75.758	69.6748
308.349633	75.696	66.6174
308.715844	75.635	63.5920
309.082055	75.574	60.5984
309.448266	75.515	57.6355
309.814477	75.456	54.7029
310.180688	75.398	51.7998
310.546899	75.341	48.9253
310.913110	75.286	46.0789
311.279321	75.232	43.2595
311.645532	75.179	40.4666
312.011743	75.128	37.6990
312.377953	75.079	34.9558
312.744164	75.031	32.2361
313.110375	74.984	29.5391
313.476586	74.940	26.8638
313.842797	74.897	24.2090
314.209008	74.856	21.5740
314.575219	74.818	18.9578
314.941430	74.780	16.3591
315.307641	74.745	13.7771
315.673852	74.712	11.2107
316.040063	74.681	8.6592
316.406274	74.651	6.1208
316.772485	74.624	3.5955
317.138696	74.599	1.0813
317.504907	74.575	-1.4226
317.871118	74.553	-3.9170
318.237329	74.533	-6.4031
318.603540	74.515	-8.8821
318.969751	74.499	-11.3552
319.335962	74.485	-13.8235
319.702173	74.472	-16.2881
320.068384	74.461	-18.7500
320.434595	74.451	-21.2107
320.800806	74.443	-23.6714
321.167017	74.437	-26.1331
321.533228	74.432	-28.5969
321.899439	74.428	-31.0645
322.265650	74.426	-33.5369
322.631861	74.425	-36.0156
322.998072	74.426	-38.5017
323.364282	74.427	-40.9966
323.730493	74.430	-43.5020
324.096704	74.433	-46.0186
324.462915	74.438	-48.5483
324.829126	74.443	-51.0925
325.195337	74.450	-53.6523
325.561548	74.457	-56.2295
325.927759	74.465	-58.8254
326.293970	74.473	-61.4417
326.660181	74.482	-64.0796
327.026392	74.491	-66.7405
327.392603	74.501	-69.4260
327.758814	74.512	-72.1379
328.125025	74.522	-74.8774
328.491236	74.533	-77.6460
328.857447	74.544	-80.4451
329.223658	74.554	-83.2764
329.589869	74.565	-86.1414
329.956080	74.576	-89.0410
330.322291	74.587	-91.9773
330.688502	74.597	-94.9514
331.054713	74.607	-97.9646
331.420924	74.617	-101.0183
331.787135	74.627	-104.1138
332.153346	74.636	-107.2522
332.519557	74.644	-110.4351
332.885768	74.652	-113.6633
333.251979	74.659	-116.9380
333.618190	74.665	-120.2603
333.984401	74.671	-123.6311
334.350612	74.676	-127.0513
334.716822	74.680	-130.5217
335.083033	74.683	-134.0435
335.449244	74.684	-137.6167
335.815455	74.685	-141.2424
336.181666	74.685	-144.9211
336.547877	74.684	-148.6533
336.914088	74.681	-152.4395
